,annotations
0,"(array([[39]], dtype=uint8), array([[116]], dtype=uint8), array([[569]], dtype=uint16), array([[375]], dtype=uint16), array([[14]], dtype=uint8), array(['00001.jpg'], dtype='<U9'))"
1,"(array([[36]], dtype=uint8), array([[116]], dtype=uint8), array([[868]], dtype=uint16), array([[587]], dtype=uint16), array([[3]], dtype=uint8), array(['00002.jpg'], dtype='<U9'))"
2,"(array([[85]], dtype=uint8), array([[109]], dtype=uint8), array([[601]], dtype=uint16), array([[381]], dtype=uint16), array([[91]], dtype=uint8), array(['00003.jpg'], dtype='<U9'))"
3,"(array([[621]], dtype=uint16), array([[393]], dtype=uint16), array([[1484]], dtype=uint16), array([[1096]], dtype=uint16), array([[134]], dtype=uint8), array(['00004.jpg'], dtype='<U9'))"
4,"(array([[14]], dtype=uint8), array([[36]], dtype=uint8), array([[133]], dtype=uint8), array([[99]], dtype=uint8), array([[106]], dtype=uint8), array(['00005.jpg'], dtype='<U9'))"
5,"(array([[259]], dtype=uint16), array([[289]], dtype=uint16), array([[515]], dtype=uint16), array([[416]], dtype=uint16), array([[123]], dtype=uint8), array(['00006.jpg'], dtype='<U9'))"
6,"(array([[88]], dtype=uint8), array([[80]], dtype=uint8), array([[541]], dtype=uint16), array([[397]], dtype=uint16), array([[89]], dtype=uint8), array(['00007.jpg'], dtype='<U9'))"
7,"(array([[73]], dtype=uint8), array([[79]], dtype=uint8), array([[591]], dtype=uint16), array([[410]], dtype=uint16), array([[96]], dtype=uint8), array(['00008.jpg'], dtype='<U9'))"
8,"(array([[20]], dtype=uint8), array([[126]], dtype=uint8), array([[1269]], dtype=uint16), array([[771]], dtype=uint16), array([[167]], dtype=uint8), array(['00009.jpg'], dtype='<U9'))"
9,"(array([[21]], dtype=uint8), array([[110]], dtype=uint8), array([[623]], dtype=uint16), array([[367]], dtype=uint16), array([[58]], dtype=uint8), array(['00010.jpg'], dtype='<U9'))"
10,"(array([[51]], dtype=uint8), array([[93]], dtype=uint8), array([[601]], dtype=uint16), array([[393]], dtype=uint16), array([[49]], dtype=uint8), array(['00011.jpg'], dtype='<U9'))"
11,"(array([[6]], dtype=uint8), array([[62]], dtype=uint8), array([[499]], dtype=uint16), array([[286]], dtype=uint16), array([[186]], dtype=uint8), array(['00012.jpg'], dtype='<U9'))"
12,"(array([[30]], dtype=uint8), array([[36]], dtype=uint8), array([[418]], dtype=uint16), array([[307]], dtype=uint16), array([[135]], dtype=uint8), array(['00013.jpg'], dtype='<U9'))"
13,"(array([[31]], dtype=uint8), array([[246]], dtype=uint8), array([[778]], dtype=uint16), array([[540]], dtype=uint16), array([[85]], dtype=uint8), array(['00014.jpg'], dtype='<U9'))"
14,"(array([[32]], dtype=uint8), array([[77]], dtype=uint8), array([[589]], dtype=uint16), array([[379]], dtype=uint16), array([[193]], dtype=uint8), array(['00015.jpg'], dtype='<U9'))"
15,"(array([[27]], dtype=uint8), array([[49]], dtype=uint8), array([[611]], dtype=uint16), array([[396]], dtype=uint16), array([[172]], dtype=uint8), array(['00016.jpg'], dtype='<U9'))"
16,"(array([[39]], dtype=uint8), array([[52]], dtype=uint8), array([[233]], dtype=uint8), array([[150]], dtype=uint8), array([[14]], dtype=uint8), array(['00017.jpg'], dtype='<U9'))"
17,"(array([[3]], dtype=uint8), array([[8]], dtype=uint8), array([[190]], dtype=uint8), array([[147]], dtype=uint8), array([[73]], dtype=uint8), array(['00018.jpg'], dtype='<U9'))"
18,"(array([[247]], dtype=uint8), array([[287]], dtype=uint16), array([[1366]], dtype=uint16), array([[761]], dtype=uint16), array([[192]], dtype=uint8), array(['00019.jpg'], dtype='<U9'))"
19,"(array([[17]], dtype=uint8), array([[281]], dtype=uint16), array([[961]], dtype=uint16), array([[596]], dtype=uint16), array([[57]], dtype=uint8), array(['00020.jpg'], dtype='<U9'))"
20,"(array([[17]], dtype=uint8), array([[156]], dtype=uint8), array([[695]], dtype=uint16), array([[375]], dtype=uint16), array([[79]], dtype=uint8), array(['00021.jpg'], dtype='<U9'))"
21,"(array([[212]], dtype=uint8), array([[538]], dtype=uint16), array([[1893]], dtype=uint16), array([[1131]], dtype=uint16), array([[36]], dtype=uint8), array(['00022.jpg'], dtype='<U9'))"
22,"(array([[11]], dtype=uint8), array([[28]], dtype=uint8), array([[476]], dtype=uint16), array([[234]], dtype=uint8), array([[120]], dtype=uint8), array(['00023.jpg'], dtype='<U9'))"
23,"(array([[53]], dtype=uint8), array([[126]], dtype=uint8), array([[973]], dtype=uint16), array([[621]], dtype=uint16), array([[170]], dtype=uint8), array(['00024.jpg'], dtype='<U9'))"
24,"(array([[34]], dtype=uint8), array([[87]], dtype=uint8), array([[567]], dtype=uint16), array([[343]], dtype=uint16), array([[194]], dtype=uint8), array(['00025.jpg'], dtype='<U9'))"
25,"(array([[30]], dtype=uint8), array([[174]], dtype=uint8), array([[598]], dtype=uint16), array([[379]], dtype=uint16), array([[134]], dtype=uint8), array(['00026.jpg'], dtype='<U9'))"
26,"(array([[80]], dtype=uint8), array([[107]], dtype=uint8), array([[606]], dtype=uint16), array([[336]], dtype=uint16), array([[184]], dtype=uint8), array(['00027.jpg'], dtype='<U9'))"
27,"(array([[45]], dtype=uint8), array([[115]], dtype=uint8), array([[585]], dtype=uint16), array([[382]], dtype=uint16), array([[86]], dtype=uint8), array(['00028.jpg'], dtype='<U9'))"
28,"(array([[28]], dtype=uint8), array([[139]], dtype=uint8), array([[1564]], dtype=uint16), array([[1126]], dtype=uint16), array([[180]], dtype=uint8), array(['00029.jpg'], dtype='<U9'))"
29,"(array([[82]], dtype=uint8), array([[109]], dtype=uint8), array([[874]], dtype=uint16), array([[521]], dtype=uint16), array([[194]], dtype=uint8), array(['00030.jpg'], dtype='<U9'))"
30,"(array([[55]], dtype=uint8), array([[318]], dtype=uint16), array([[446]], dtype=uint16), array([[564]], dtype=uint16), array([[154]], dtype=uint8), array(['00031.jpg'], dtype='<U9'))"
31,"(array([[12]], dtype=uint8), array([[31]], dtype=uint8), array([[471]], dtype=uint16), array([[350]], dtype=uint16), array([[139]], dtype=uint8), array(['00032.jpg'], dtype='<U9'))"
32,"(array([[34]], dtype=uint8), array([[197]], dtype=uint8), array([[1011]], dtype=uint16), array([[656]], dtype=uint16), array([[66]], dtype=uint8), array(['00033.jpg'], dtype='<U9'))"
33,"(array([[37]], dtype=uint8), array([[63]], dtype=uint8), array([[614]], dtype=uint16), array([[397]], dtype=uint16), array([[133]], dtype=uint8), array(['00034.jpg'], dtype='<U9'))"
34,"(array([[223]], dtype=uint8), array([[87]], dtype=uint8), array([[1111]], dtype=uint16), array([[670]], dtype=uint16), array([[154]], dtype=uint8), array(['00035.jpg'], dtype='<U9'))"
35,"(array([[138]], dtype=uint8), array([[41]], dtype=uint8), array([[521]], dtype=uint16), array([[223]], dtype=uint8), array([[104]], dtype=uint8), array(['00036.jpg'], dtype='<U9'))"
36,"(array([[31]], dtype=uint8), array([[87]], dtype=uint8), array([[616]], dtype=uint16), array([[344]], dtype=uint16), array([[38]], dtype=uint8), array(['00037.jpg'], dtype='<U9'))"
37,"(array([[16]], dtype=uint8), array([[89]], dtype=uint8), array([[459]], dtype=uint16), array([[326]], dtype=uint16), array([[97]], dtype=uint8), array(['00038.jpg'], dtype='<U9'))"
38,"(array([[53]], dtype=uint8), array([[113]], dtype=uint8), array([[614]], dtype=uint16), array([[350]], dtype=uint16), array([[105]], dtype=uint8), array(['00039.jpg'], dtype='<U9'))"
39,"(array([[214]], dtype=uint8), array([[110]], dtype=uint8), array([[660]], dtype=uint16), array([[403]], dtype=uint16), array([[142]], dtype=uint8), array(['00040.jpg'], dtype='<U9'))"
40,"(array([[61]], dtype=uint8), array([[55]], dtype=uint8), array([[566]], dtype=uint16), array([[408]], dtype=uint16), array([[13]], dtype=uint8), array(['00041.jpg'], dtype='<U9'))"
41,"(array([[28]], dtype=uint8), array([[61]], dtype=uint8), array([[622]], dtype=uint16), array([[371]], dtype=uint16), array([[191]], dtype=uint8), array(['00042.jpg'], dtype='<U9'))"
42,"(array([[22]], dtype=uint8), array([[39]], dtype=uint8), array([[588]], dtype=uint16), array([[362]], dtype=uint16), array([[119]], dtype=uint8), array(['00043.jpg'], dtype='<U9'))"
43,"(array([[220]], dtype=uint8), array([[193]], dtype=uint8), array([[537]], dtype=uint16), array([[364]], dtype=uint16), array([[38]], dtype=uint8), array(['00044.jpg'], dtype='<U9'))"
44,"(array([[12]], dtype=uint8), array([[108]], dtype=uint8), array([[489]], dtype=uint16), array([[297]], dtype=uint16), array([[186]], dtype=uint8), array(['00045.jpg'], dtype='<U9'))"
45,"(array([[28]], dtype=uint8), array([[80]], dtype=uint8), array([[759]], dtype=uint16), array([[466]], dtype=uint16), array([[25]], dtype=uint8), array(['00046.jpg'], dtype='<U9'))"
46,"(array([[84]], dtype=uint8), array([[248]], dtype=uint8), array([[1102]], dtype=uint16), array([[899]], dtype=uint16), array([[194]], dtype=uint8), array(['00047.jpg'], dtype='<U9'))"
47,"(array([[142]], dtype=uint8), array([[69]], dtype=uint8), array([[753]], dtype=uint16), array([[451]], dtype=uint16), array([[177]], dtype=uint8), array(['00048.jpg'], dtype='<U9'))"
48,"(array([[166]], dtype=uint8), array([[543]], dtype=uint16), array([[887]], dtype=uint16), array([[903]], dtype=uint16), array([[173]], dtype=uint8), array(['00049.jpg'], dtype='<U9'))"
49,"(array([[20]], dtype=uint8), array([[96]], dtype=uint8), array([[564]], dtype=uint16), array([[341]], dtype=uint16), array([[42]], dtype=uint8), array(['00050.jpg'], dtype='<U9'))"
